School Number,School Name,Telephone,Fax,Email^,Principal*,School Website,Street,Suburb,Town / City,Postal Address 1,Postal Address 2,Postal Address 3,Postal Code,Urban Area,School Type,Definition,Authority,Gender of Students,Territorial Authority with Auckland Local Board,Regional Council,Ministry of Education Local Office,Education Region,General Electorate,Maori Electorate,Census Area Unit,Ward,Community of Learning: ID,Community of Learning: Name,Longitude,Latitude,Decile,Total School Roll,European / Pakeha,Maori,Pasifika,Asian,MELAA,Other,International
11,Opononi Area School,09 405 8500,09 405 8501,anitaw@opononi.school.nz,Pateriki Toi,,263 State Highway 12,Omapere,Kaikohe,Private Bag 759,,Kaikohe,440,Rural Area,Composite,Not Applicable,State,Co-Educational,Far North District,Northland Region,Whangarei,Tai Tokerau,Northland,Te Tai Tokerau,Omapere and Opononi,Kaikohe-Hokianga Ward,99148,Hokianga Community of Learning,173.390212,-35.528555,1,146,28,113,5,0,0,0,0
12,Tauraroa Area School,09 432 2643,09 432 2436,general@tauraroa.school.nz,Grant Burns,http://www.tauraroa.school.nz,398 Tauraroa Road,,Maungakaramea,P O Box 36,,Maungakaramea,146,Rural Area,Composite,Not Applicable,State,Co-Educational,Whangarei District,Northland Region,Whangarei,Tai Tokerau,Whangarei,Te Tai Tokerau,Wharekohe-Oakleigh,Bream Bay Ward,99183,Nga Kura mo te ako o Whangarei Kahui Ako Group 4,174.218168,-35.873068,6,542,372,142,4,9,9,3,3
13,Kamo High School,09 435 1688,09 435 0790,admin@kamohigh.school.nz,Joanne Hutt,http://www.kamohigh.school.nz/,5 Wilkinson Avenue,Kamo,Whangarei,P O Box 4137,,Kamo,141,Main Urban Area,Secondary (Year 9-15),Not Applicable,State,Co-Educational,Whangarei District,Northland Region,Whangarei,Tai Tokerau,Whangarei,Te Tai Tokerau,Kamo East,Denby Ward,99182,Nga Kura mo te ako o Whangarei (Raki Whangarei) Kahui Ako Group 3,174.302812,-35.684393,4,850,377,418,11,19,7,0,18
14,Tikipunga High School,09 437 3299,09 437 2522,sec@tikihigh.school.nz,Alec Solomon,http://tikihigh.school.nz/,194 Corks Road,Tikipunga,Whangarei,P O Box 7041,Tikipunga,Whangarei,144,Main Urban Area,Secondary (Year 7-15), Normal School                                              ,State,Co-Educational,Whangarei District,Northland Region,Whangarei,Tai Tokerau,Whangarei,Te Tai Tokerau,Tikipunga West,Denby Ward,,,174.328316,-35.683558,2,297,39,246,9,2,0,1,0
15,Whangarei Boys' High School,09 430 4170,09 430 4172,enquiries@wbhs.school.nz,Karen Gilbert-Smith,http://www.wbhs.school.nz,10 Kent Road,,Whangarei,P O Box 5034,,Whangarei,140,Main Urban Area,Secondary (Year 9-15),School with Boarding Facilities,State,Single Sex (Boys School),Whangarei District,Northland Region,Whangarei,Tai Tokerau,Whangarei,Te Tai Tokerau,Regent,Okara Ward,99181,Nga Kura mo te ako o Whangarei Kahui Ako Group 2,174.318379,-35.716116,5,1160,592,462,30,50,14,5,7
16,Whangarei Girls' High School,09 430 4460,09 430 4410,office@wghs.school.nz,Anne Cooper,http://www.wghs.school.nz,1 Lupton Avenue,Regent,Whangarei,P O Box 5056,,Whangarei,140,Main Urban Area,Secondary (Year 9-15),School with Boarding Facilities,State,Single Sex (Girls School),Whangarei District,Northland Region,Whangarei,Tai Tokerau,Whangarei,Te Tai Tokerau,Regent,Okara Ward,99180,Nga Kura mo te ako o Whangarei Kahui Ako Group 1,174.31955,-35.713288,5,1419,788,491,38,46,30,7,19
17,Pompallier Catholic College,09 438 3950,09 430 0302,admin@pompallier.school.nz,Richard Stanton,http://www.pompalliercollege.school.nz,State Highway 14,Maunu,Whangarei,P O Box 10042,Te Mai,Whangarei,143,Main Urban Area,Secondary (Year 7-15),Not Applicable,State : Integrated,Co-Educational,Whangarei District,Northland Region,Whangarei,Tai Tokerau,Whangarei,Te Tai Tokerau,Te Hihi,Mangakahia-Maungatapere Ward,99180,Nga Kura mo te ako o Whangarei Kahui Ako Group 1,174.275713,-35.744863,7,536,336,78,22,69,12,5,14
18,Mangakahia Area School,09 433 1702,,admin@mangakahia.school.nz,Philip Reynolds,http://www.mangakahia.school.nz,Mangakahia Road,Titoki,Whangarei,Private Bag,Titoki,Whangarei,140,Rural Area,Composite,Not Applicable,State,Co-Educational,Whangarei District,Northland Region,Whangarei,Tai Tokerau,Northland,Te Tai Tokerau,Opouteke-Tanekaha,Mangakahia-Maungatapere Ward,99183,Nga Kura mo te ako o Whangarei Kahui Ako Group 4,174.058779,-35.732278,3,90,10,79,1,0,0,0,0
19,Dargaville High School,09 439 7229,09 439 7563,office@darghigh.school.nz,Michael Houghton,http://www.dargavillehighschool.co.nz,Plunket Street,,Dargaville,Plunket Street,,Dargaville,310,Minor Urban Area,Secondary (Year 9-15),School with Boarding Facilities,State,Co-Educational,Kaipara District,Northland Region,Whangarei,Tai Tokerau,Northland,Te Tai Tokerau,Dargaville,Dargaville Ward,99185,Northern Wairoa Kahui Ako,173.868056,-35.931691,3,482,229,214,29,4,2,4,0
20,Bream Bay College,09 432 8226,09 432 8228,ksandford@breambaycollege.school.nz,Wayne Buckland,http://www.breambaycollege.school.nz/,Peter Snell Road,,Ruakaka,P O Box 111,,Ruakaka,151,Rural Area,Secondary (Year 7-15),Not Applicable,State,Co-Educational,Whangarei District,Northland Region,Whangarei,Tai Tokerau,Whangarei,Te Tai Tokerau,Marsden Point-Ruakaka,Bream Bay Ward,99184,Bream Bay Kahui Ako,174.455784,-35.876078,5,529,291,195,18,15,3,3,4
21,Otamatea High School,09 431 8230,09 431 8229,ohs@otamatea.school.nz,Rachel Clothier-Simmonds,http://www.otamatea.school.nz,Bickerstaffe Road,,Maungaturoto,P O Box 64,,Maungaturoto,547,Rural Area,Secondary (Year 7-15),Not Applicable,State,Co-Educational,Kaipara District,Northland Region,Whangarei,Tai Tokerau,Northland,Te Tai Tokerau,Rehia-Oneriri,Otamatea Ward,99118,Twin Coast Community of Learning,174.365259,-36.11723,4,409,261,129,5,9,2,0,3
22,Ruawai College,09 439 2216,09 439 2214,,Raeleen Harre,http://www.ruawaicollege.school.nz,4375 State Highway 12,,Ruawai,State Highway 12,,Ruawai,530,Rural Area,Secondary (Year 7-15),Not Applicable,State,Co-Educational,Kaipara District,Northland Region,Whangarei,Tai Tokerau,Northland,Te Tai Tokerau,Rehia-Oneriri,West Coast-Central Ward,99185,Northern Wairoa Kahui Ako,174.011673,-36.12257,4,159,76,79,2,2,0,0,0
23,Rodney College,09 423 6030,09 423 7555,eo@rodneycollege.school.nz,Irene Symes,http://www.rodneycollege.school.nz,287 Rodney Street,,Wellsford,287 Rodney Street,,Wellsford,900,Minor Urban Area,Secondary (Year 9-15),Not Applicable,State,Co-Educational,Auckland - Rodney,Auckland Region,Auckland,Auckland,Northland,Te Tai Tokerau,Wellsford,Rodney Ward,,,174.520831,-36.28816,4,391,257,102,7,13,3,5,4
24,Mahurangi College,09 425 8039,09 425 7275,admin@mahurangi.school.nz,David Macleod,http://www.mahurangi.school.nz,Woodcocks Road,,Warkworth,P O Box 64,,Warkworth,941,Minor Urban Area,Secondary (Year 7-15),Not Applicable,State,Co-Educational,Auckland - Rodney,Auckland Region,Auckland,Auckland,Rodney,Te Tai Tokerau,Warkworth,Rodney Ward,99122,Mahurangi Community of Learning,174.655544,-36.406517,7,1460,1042,205,95,45,31,3,39
25,Orewa College,09 427 3833,,admin@oc.school.nz,Kate Shevland,http://www.orewa.school.nz/,Riverside Road,,Orewa,P O Box 345,,Orewa,946,Main Urban Area,Secondary (Year 7-15),Not Applicable,State,Co-Educational,Auckland - Hibiscus and Bays,Auckland Region,Auckland,Auckland,Rodney,Te Tai Tokerau,Orewa,Albany Ward,99069,Orewa Community of Learning,174.689747,-36.591698,9,1986,1432,275,58,113,31,27,50
26,Kaipara College,09 420 8640,09 420 7485,jsherman@kaipara.school.nz,Stephen McCracken,http://www.kaipara.school.nz/,Rautawhiri Road,,Helensville,Rautawhiri Road,,Helensville,800,Minor Urban Area,Secondary (Year 9-15),Not Applicable,State,Co-Educational,Auckland - Rodney,Auckland Region,Auckland,Auckland,Helensville,Te Tai Tokerau,Helensville,Rodney Ward,99097,Te Kahui Ako o Kaipara,174.459138,-36.680156,7,788,518,198,24,24,8,3,13
27,Long Bay College,09 477 9009,09 477 9105,office@lbc.school.nz,CJ Healey,http://www.longbaycollege.com,Ashley Avenue,Torbay,Auckland,P O Box 89007,Torbay,Auckland,742,Main Urban Area,Secondary (Year 9-15),Not Applicable,State,Co-Educational,Auckland - Hibiscus and Bays,Auckland Region,Auckland,Auckland,East Coast Bays,Te Tai Tokerau,Long Bay,Albany Ward,99121,Oneroa Community of Learning,174.738757,-36.691395,10,1555,1126,87,20,129,37,16,140
28,Rangitoto College,09 477 0150,09 477 0077,info@rangitoto.school.nz,Patrick Gale,http://www.rangitoto.school.nz,564 East Coast Road,Browns Bay,Auckland,P O Box 93601,Browns Bay,Auckland,753,Main Urban Area,Secondary (Year 9-15),Not Applicable,State,Co-Educational,Auckland - Upper Harbour,Auckland Region,Auckland,Auckland,East Coast Bays,Te Tai Tokerau,Windsor Park,Albany Ward,99000,Mid Bays Community of Schools,174.736683,-36.737197,10,3225,1672,177,56,886,134,30,270
29,Kristin School,09 415 9566,,kristin@kristin.school.nz,Tim Oughton,http://www.kristin.school.nz/,360 Albany Highway,Albany,Auckland,P O Box 300087,Albany,Auckland,752,Main Urban Area,Composite,Not Applicable,Private : Fully Registered,Co-Educational,Auckland - Upper Harbour,Auckland Region,Auckland,Auckland,East Coast Bays,Te Tai Tokerau,North Harbour West,Albany Ward,,,174.692243,-36.742989,10,1542,810,32,13,577,21,5,84
30,Glenfield College,09 444 9066,09 444 7198,admin@gc.ac.nz,Paul McKinley,https://www.gc.ac.nz/,Kaipatiki Road,Glenfield,Auckland,P O Box 40176,Glenfield,North Shore City,747,Main Urban Area,Secondary (Year 9-15),Not Applicable,State,Co-Educational,Auckland - Kaipatiki,Auckland Region,Auckland,Auckland,Northcote,Te Tai Tokerau,Kaipatiki,North Shore Ward,99120,Kaipatiki Community of Learning,174.714953,-36.779801,6,447,152,79,29,105,36,7,39
31,Birkenhead College,09 483 9039,09 483 4094,office@birkenhead.school.nz,Craig Waller,http://www.birkenhead.school.nz/,140 Birkdale Road,Birkenhead,Auckland,Private Bag 34911,Birkenhead,North Shore City,746,Main Urban Area,Secondary (Year 9-15),Not Applicable,State,Co-Educational,Auckland - Kaipatiki,Auckland Region,Auckland,Auckland,Northcote,Te Tai Tokerau,Birkdale South,North Shore Ward,,,174.701151,-36.799174,6,643,257,115,112,82,28,4,45
32,Northcote College,09 481 0141,09 481 0142,office@northcote.school.nz,Vicki Barrie,http://www.northcote.school.nz,Kauri Glen Road,Northcote,Auckland,Kauri Glen Road,Northcote,North Shore City,627,Main Urban Area,Secondary (Year 9-15),Not Applicable,State,Co-Educational,Auckland - Kaipatiki,Auckland Region,Auckland,Auckland,Northcote,Te Tai Tokerau,Northcote South,North Shore Ward,99067,Northcote Community of Learning,174.733677,-36.808881,7,1121,550,161,96,149,42,5,118
33,Hato Petera College,09 480 7784,09 480 1678,admin@hatopetera.school.nz,John Matthews,http://www.hatopetera.school.nz,103 College Road,Northcote,Auckland,103 College Road,Northcote,Auckland,627,Main Urban Area,Secondary (Year 9-15),Secondary Maori Boarding School,State : Integrated,Co-Educational,Auckland - Kaipatiki,Auckland Region,Auckland,Auckland,Northcote,Te Tai Tokerau,Tuff Crater,North Shore Ward,,,174.753142,-36.797973,3,6,0,6,0,0,0,0,0
35,Carmel College,09 486 1132,09 486 2286,admin@carmel.school.nz,Christine Allen,http://www.carmel.school.nz/,108 Shakespeare Road,Milford,Auckland,P O Box 31142,Milford,North Shore City,741,Main Urban Area,Secondary (Year 7-15),Not Applicable,State : Integrated,Single Sex (Girls School),Auckland - Devonport-Takapuna,Auckland Region,Auckland,Auckland,North Shore,Te Tai Tokerau,Westlake,North Shore Ward,99126,North Shore Catholic Schools Community of Learning,174.756741,-36.779176,9,1054,625,46,60,217,53,6,47
36,Takapuna Grammar School,09 489 4167,09 486 7118,office@takapuna.school.nz,Mary Nixon,http://www.takapuna.school.nz,210 Lake Road,Takapuna,Auckland,P O Box 331096,Takapuna,Auckland,740,Main Urban Area,Secondary (Year 9-15),Not Applicable,State,Co-Educational,Auckland - Devonport-Takapuna,Auckland Region,Auckland,Auckland,North Shore,Te Tai Tokerau,Seacliffe,North Shore Ward,99048,Devonport Community of Learning,174.788477,-36.800616,10,1685,1058,86,41,234,37,23,206
37,Westlake Boys' High School,09 410 8667,09 410 7717,office@westlake.school.nz,David Ferguson,http://www.westlake.school.nz,Forrest Hill Road,Takapuna,Auckland,30 Forrest Hill Road,Forrest Hill,North Shore City,620,Main Urban Area,Secondary (Year 9-15),Not Applicable,State,Single Sex (Boys School),Auckland - Devonport-Takapuna,Auckland Region,Auckland,Auckland,North Shore,Te Tai Tokerau,Westlake,North Shore Ward,99188,Pupuke (Westlake) Community of Learning,174.749491,-36.777366,9,2357,1078,158,96,751,66,9,199
38,Westlake Girls' High School,09 489 4169,09 486 1860,principal@westlakegirls.school.nz,Jane Stanley,http://www.westlakegirls.school.nz,2 Wairau Road,Takapuna,Auckland,2 Wairau Road,Takapuna,North Shore City,627,Main Urban Area,Secondary (Year 9-15),Not Applicable,State,Single Sex (Girls School),Auckland - Devonport-Takapuna,Auckland Region,Auckland,Auckland,North Shore,Te Tai Tokerau,Westlake,North Shore Ward,99188,Pupuke (Westlake) Community of Learning,174.752309,-36.782458,9,2301,969,149,82,696,87,18,300
39,Rosmini College,09 489 5417,09 489 5323,i.fairhurst@rosmini.school.nz,Nixon Cooper,http://www.rosmini.school.nz,36 Dominion Street,Takapuna,Auckland,36 Dominion Street,Takapuna,North Shore City,622,Main Urban Area,Secondary (Year 7-15),Not Applicable,State : Integrated,Single Sex (Boys School),Auckland - Devonport-Takapuna,Auckland Region,Auckland,Auckland,North Shore,Te Tai Tokerau,Westlake,North Shore Ward,99126,North Shore Catholic Schools Community of Learning,174.760145,-36.792442,9,1081,657,80,60,199,48,3,34
40,Rutherford College,09 834 9790,09 834 6506,admin@rutherford.school.nz,Gary Moore,http://www.rutherfordcollege.school.nz,Kotuku Street,Te Atatu,Auckland,Kotuku Street,Te Atatu Peninsula,Waitakere,610,Main Urban Area,Secondary (Year 9-15),Not Applicable,State,Co-Educational,Auckland - Henderson-Massey,Auckland Region,Auckland,Auckland,Te Atatu,Te Tai Tokerau,Te Atatu Central,Waitakere Ward,99013,Te Atatu Community of Schools,174.646309,-36.85259,5,1276,476,294,192,208,30,5,71
41,Macleans College,09 535 2620,09 535 2621,gn@macleans.school.nz,Steven Hargreaves,http://www.macleans.school.nz,Macleans Road,Bucklands Beach,Auckland,Private Bag 94201,Howick,Auckland,2145,Main Urban Area,Secondary (Year 9-15),Not Applicable,State,Co-Educational,Auckland - Howick,Auckland Region,Auckland,Auckland,Pakuranga,Tamaki Makaurau,Bucklands and Eastern Beaches,Howick Ward,,,174.914423,-36.882722,9,2542,828,92,33,1202,55,7,325
42,Green Bay High School,09 817 8173,09 817 8264,office@greenbayhigh.school.nz,Morag Hutchinson,http://www.greenbayhigh.school.nz,143-161 Godley Road,Green Bay,Auckland,161 Godley Road,Green Bay,Waitakere,604,Main Urban Area,Secondary (Year 9-15),Not Applicable,State,Co-Educational,Auckland - Whau,Auckland Region,Auckland,Auckland,New Lynn,Tamaki Makaurau,Green Bay,Whau Ward,99062,Kotuitui Community of Learning,174.669394,-36.930949,8,1389,980,162,64,103,30,7,43
43,Massey High School,09 831 0500,09 833 9200,office@masseyhigh.school.nz,Glen Denham,http://www.masseyhigh.school.nz/,274 Don Buck Road,Massey,Auckland,274 Don Buck Road,Massey,Waitakere,614,Main Urban Area,Secondary (Year 9-15),Not Applicable,State,Co-Educational,Auckland - Henderson-Massey,Auckland Region,Auckland,Auckland,Upper Harbour,Te Tai Tokerau,Birdwood East,Waitakere Ward,99125,Massey Community of Learning,174.601692,-36.84188,4,1756,561,421,471,208,60,2,33
44,Waitakere College,09 836 7890,09 836 7892,secretary@waitakerecollege.school.nz,Mark Shanahan,http://www.waitakere-college.school.nz,Rathgar Road,Henderson,Auckland,P O Box 21144,Henderson,Waitakere,650,Main Urban Area,Secondary (Year 9-15),Not Applicable,State,Co-Educational,Auckland - Henderson-Massey,Auckland Region,Auckland,Auckland,Te Atatu,Te Tai Tokerau,Fairdene,Waitakere Ward,99092,"Te Kahui Ako o Waitakere, Waitakere Community of Learners",174.620711,-36.867097,3,1296,355,311,389,176,47,6,12
45,Henderson High School,09 838 9085,09 838 9164,admin@hhs.school.nz,Michael Purcell,http://www.hhs.school.nz,Henderson Valley Road,Henderson,Auckland,P O Box 21141,Henderson,Waitakere,650,Main Urban Area,Secondary (Year 9-15),Not Applicable,State,Co-Educational,Auckland - Henderson-Massey,Auckland Region,Auckland,Auckland,Te Atatu,Te Tai Tokerau,Henderson South,Waitakere Ward,99029,Henderson Community of Learning,174.628205,-36.883656,3,834,397,190,126,73,34,1,13
46,Liston College,09 838 9350,09 837 9809,info@liston.school.nz,Christopher Rooney,http://www.liston.school.nz,69 Rathgar Road,Henderson,Auckland,69 Rathgar Road,Henderson,Waitakere,610,Main Urban Area,Secondary (Year 7-15),Not Applicable,State : Integrated,Single Sex (Boys School),Auckland - Henderson-Massey,Auckland Region,Auckland,Auckland,Te Atatu,Te Tai Tokerau,Fairdene,Waitakere Ward,99092,"Te Kahui Ako o Waitakere, Waitakere Community of Learners",174.623159,-36.866064,5,825,269,61,172,247,47,4,25
47,St Dominic's Catholic College (Henderson),09 839 0380,09 839 0390,stdoms@stdoms.ac.nz,Carol Coddington,http://www.stdoms.ac.nz,29 Rathgar Road,Henderson,Auckland,P O Box 21123,Henderson,Waitakere,650,Main Urban Area,Secondary (Year 7-15),Not Applicable,State : Integrated,Single Sex (Girls School),Auckland - Henderson-Massey,Auckland Region,Auckland,Auckland,Te Atatu,Te Tai Tokerau,Fairdene,Waitakere Ward,99092,"Te Kahui Ako o Waitakere, Waitakere Community of Learners",174.621071,-36.868858,5,867,265,79,203,224,45,4,47
48,Western Springs College,09 815 6730,09 815 6740,admin@wsc.school.nz,Ivan Davis,http://www.westernsprings.school.nz,Motions Road,Western Springs,Auckland,Motions Road,Western Springs,Auckland,1022,Main Urban Area,Secondary (Year 9-15),Not Applicable,State,Co-Educational,Auckland - Waitemata,Auckland Region,Auckland,Auckland,Mt Albert,Tamaki Makaurau,Westmere,Waitemata and Gulf Ward,99154,Te Kahui Ako o Waitemata,174.717534,-36.861976,8,1441,780,314,107,133,17,4,86
49,Selwyn College,09 521 9610,09 521 9620,info@selwyn.school.nz,Sheryll Ofner,http://www.selwyn.school.nz,Kohimarama Road,Kohimarama,Auckland,203 Kohimarama Road,Kohimarama,Auckland,1071,Main Urban Area,Secondary (Year 9-15),Not Applicable,State,Co-Educational,Auckland - Orakei,Auckland Region,Auckland,Auckland,Tamaki,Tamaki Makaurau,Mission Bay,Orakei Ward,99100,Te Roopu Pourewa Community of Learning,174.838551,-36.86233,4,1180,479,139,113,235,127,34,53
50,St Mary's College (Ponsonby),09 376 6568,09 376 0206,office@stmaryak.school.nz,Bernadette Stockman,http://www.stmaryak.school.nz,11 New Street,Ponsonby,Auckland,P O Box 47003,Ponsonby,Auckland,1144,Main Urban Area,Secondary (Year 7-15),Not Applicable,State : Integrated,Single Sex (Girls School),Auckland - Waitemata,Auckland Region,Auckland,Auckland,Auckland Central,Tamaki Makaurau,St Marys,Waitemata and Gulf Ward,99030,Auckland Central Catholic Community of Schools,174.748234,-36.846003,8,1029,619,85,152,114,6,2,51
51,St Paul's College (Ponsonby),09 376 1287,09 378 6713,stpauls@stpaulscollege.co.nz,Kieran Fouhy,http://www.stpaulscollege.co.nz/,183 Richmond Road,Ponsonby,Auckland,183 Richmond Road,Grey Lynn,Auckland,1021,Main Urban Area,Secondary (Year 7-15),Not Applicable,State : Integrated,Single Sex (Boys School),Auckland - Waitemata,Auckland Region,Auckland,Auckland,Auckland Central,Tamaki Makaurau,Ponsonby West,Waitemata and Gulf Ward,99030,Auckland Central Catholic Community of Schools,174.737789,-36.854456,2,235,7,26,192,8,1,0,1
52,Tyndale Park Christian School,09 274 9771,09 274 9772,admin@tyndalepark.school.nz,Barend Blom,http://www.tyndalepark.school.nz,206 Murphys Road,Flat Bush,Manukau,206 Murphys Road,Flat Bush,Manukau,2019,Main Urban Area,Composite,Not Applicable,Private : Fully Registered,Co-Educational,Auckland - Howick,Auckland Region,Auckland,Auckland,Hunua,Hauraki-Waikato,Ormiston,Howick Ward,,,174.922239,-36.974546,99,118,21,9,19,36,4,29,0
53,Auckland Girls' Grammar School,09 307 4180,09 309 9152,mirwin@aggs.school.nz,Ngaire Ashmore,http://www.aggs.school.nz,Howe Street,Newton,Auckland,P O Box 68053,Wellesley Street,Auckland,1141,Main Urban Area,Secondary (Year 9-15),Not Applicable,State,Single Sex (Girls School),Auckland - Waitemata,Auckland Region,Auckland,Auckland,Auckland Central,Tamaki Makaurau,Freemans Bay,Waitemata and Gulf Ward,99150,Mt Albert Community of Learning,174.75365,-36.857019,3,1070,57,242,559,157,30,5,20
54,Auckland Grammar,09 623 5400,09 623 5401,admin@ags.school.nz,Timothy O'Connor,http://www.ags.school.nz,Mountain Road,Epsom,Auckland,Private Bag 99930,Newmarket,Auckland,1149,Main Urban Area,Secondary (Year 9-15),School with Boarding Facilities,State,Single Sex (Boys School),Auckland - Albert-Eden,Auckland Region,Auckland,Auckland,Epsom,Tamaki Makaurau,Mt Eden North,Albert-Eden-Roskill Ward,,,174.76885,-36.869414,9,2500,1096,162,139,897,49,13,144
57,Tamaki College,09 521 1104,09 528 5341,admin@tamaki.ac.nz,Soana Pamaka,http://www.tamaki.ac.nz,Elstree Avenue,Glen Innes,Auckland,P O Box 18061,Glen Innes,Auckland,1743,Main Urban Area,Secondary (Year 9-15),Not Applicable,State,Co-Educational,Auckland - Maungakiekie-Tamaki,Auckland Region,Auckland,Auckland,Tamaki,Tamaki Makaurau,Glen Innes East,Maungakiekie-Tamaki Ward,99031,Manaiakalani Community of Learning,174.867271,-36.877942,1,582,10,170,390,6,2,2,2
